molecule_chembl_id,canonical_smiles,Activity Class
CHEMBL1164659,COc1ccc(CNc2nc(OC)nc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1164660,COc1ccc(CNc2nc(N(C)C)nc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1163265,COc1ccc(CN(C)c2ncnc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1165750,COc1ccc(COc2ncnc(-c3ccco3)c2NC=O)cc1,1
CHEMBL1164507,COc1ccc(CN(C=O)c2c(-c3ccco3)nc[nH]c2=O)cc1,1
CHEMBL1164038,COc1ccc(Cn2cnc(-c3cncnc3-c3ccco3)c2)cc1,1
CHEMBL1164039,COc1ccc(Cn2cncc2-c2cc(-c3ccco3)ncn2)cc1,1
CHEMBL1164318,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O=S(=O)(O)O,1
CHEMBL192544,COc1ccc(Cn2cnc3c(-c4ccco4)ncnc32)cc1,1
CHEMBL1172698,COc1ccc(Nc2ncnc3c(=N)n(NC(=O)c4ccncc4)cnc23)cc1,1
CHEMBL1170966,COc1ccc(Nc2ncnc3c(=N)n(NC(=O)c4ccccc4)cnc23)cc1,1
CHEMBL1170967,COc1ccc(Nc2ncnc3c(=N)n(NC(=O)c4ccco4)cnc23)cc1,1
CHEMBL1171166,COc1ccc(Nc2ncnc3c(=N)n(NC(C)=O)cnc23)cc1,1
CHEMBL1171167,N=c1c2ncnc(Nc3ccccc3)c2ncn1NC(=O)c1ccncc1,1
CHEMBL1170556,N=c1c2ncnc(Nc3ccccc3)c2ncn1NC(=O)c1ccccc1,1
CHEMBL1170557,N=c1c2ncnc(Nc3ccccc3)c2ncn1NC(=O)c1ccco1,1
CHEMBL1170765,CC(=O)Nn1cnc2c(Nc3ccccc3)ncnc2c1=N,1
CHEMBL1170766,N#Cc1ccc(Nc2ncnc3c(=N)n(NC(=O)c4ccncc4)cnc23)cc1,1
CHEMBL1171915,N#Cc1ccc(Nc2ncnc3c(=N)n(NC(=O)c4ccccc4)cnc23)cc1,1
CHEMBL1171170,CC(=O)Nn1cnc2c(Nc3ccc(C#N)cc3)ncnc2c1=N,1
CHEMBL1172293,N=c1c2ncnc(Nc3ccc(F)cc3)c2ncn1NC(=O)c1ccncc1,1
